time,open,high,low,close,volume,turnover
2020-11-22 04:00:00+00:00,18586,18632.5,18324.5,18524,2918.755,54067017.62
2020-11-22 08:00:00+00:00,18524,18540,17667,17928,9877.707,177087531.096
2020-11-22 12:00:00+00:00,17928,18325,17857.5,18281.5,5587.85,102154279.775
2020-11-22 16:00:00+00:00,18281.5,18653,18281.5,18608.5,4191.864,78004301.244
2020-11-22 20:00:00+00:00,18608.5,18710,18411,18421.5,3035.779,55923602.8485
2020-11-23 00:00:00+00:00,18421.5,18535.5,18045,18409,5882.545,108291770.905
2020-11-23 04:00:00+00:00,18409,18588,18347.5,18473,2520.821,46567126.333
2020-11-23 08:00:00+00:00,18473,18804,18470,18619,4560.775,84917069.725
2020-11-23 12:00:00+00:00,18619,18714,18257,18275,7604.108,138965073.7
2020-11-23 16:00:00+00:00,18275,18472,18173.5,18467,3777.45,69758169.15
2020-11-23 20:00:00+00:00,18467,18494,18292,18359.5,2769.347,50843826.2465
2020-11-24 00:00:00+00:00,18359.5,18540,18235,18369,3130.142,57497578.398
2020-11-24 04:00:00+00:00,18369,18458,18050,18335.5,8080.599,148161822.9645
2020-11-24 08:00:00+00:00,18335.5,19130.5,18335.5,19026.5,12412.807,236172272.3855
2020-11-24 12:00:00+00:00,19026.5,19391.5,18965,19319.5,5267.503,101765524.2085
2020-11-24 16:00:00+00:00,19319.5,19400.5,19111,19166,3631.521,69601731.486
2020-11-24 20:00:00+00:00,19166,19239.5,18866,19160,5158.017,98827605.72
2020-11-25 00:00:00+00:00,19160,19224,18771,18840.5,3963.533,74674943.4865
2020-11-25 04:00:00+00:00,18840.5,19055,18650,18998.5,6326.63,120196480.055
2020-11-25 08:00:00+00:00,18998.5,19372.5,18994,19300.5,2685.126,51824274.363
2020-11-25 12:00:00+00:00,19300.5,19531,19112.5,19126.5,5852.806,111943693.959
2020-11-25 16:00:00+00:00,19126.5,19194.5,18821,18999,5663.949,107609367.051
2020-11-25 20:00:00+00:00,18999,19102,18515.5,18737.5,5435.363,101845114.2125
2020-11-26 00:00:00+00:00,18737.5,18923,17135,17934,11800.085,211622724.39
2020-11-26 04:00:00+00:00,17934,18093,17518,17657.5,8367.049,147741167.7175
2020-11-26 08:00:00+00:00,17657.5,17657.5,16350,17121,19303.563,330496302.123
2020-11-26 12:00:00+00:00,17121,17400,16738.5,16892.5,8105.841,136927919.0925
2020-11-26 16:00:00+00:00,16892.5,17041.5,16202,16542,8650.006,143088399.252
2020-11-26 20:00:00+00:00,16542,17283,16533.5,17154,3976.269,68208918.426
2020-11-27 00:00:00+00:00,17154,17455,17037.5,17088,3342.676,57119647.488
2020-11-27 04:00:00+00:00,17088,17337.5,17045.5,17095,2301.562,39345202.39
2020-11-27 08:00:00+00:00,17095,17218,16616,16777.5,7095.163,119039097.2325
2020-11-27 12:00:00+00:00,16777.5,17068,16452,16510,3572.955,58989487.05
2020-11-27 16:00:00+00:00,16510,16851.5,16479.5,16796.5,1858.123,31209962.9695
2020-11-27 20:00:00+00:00,16796.5,17150,16750.5,17132,2864.99,49083008.68
2020-11-28 00:00:00+00:00,17132,17189.5,16944.5,16990.5,2189.531,37201226.4555
2020-11-28 04:00:00+00:00,16990.5,17056.5,16881.5,17010,1248.098,21230146.98
2020-11-28 08:00:00+00:00,17010,17245.5,16867,17165.5,1747.973,30004830.5315
2020-11-28 12:00:00+00:00,17165.5,17514,17080,17500,2717.209,47551157.5
2020-11-28 16:00:00+00:00,17500,17824,17500,17806.5,3231.026,57533264.469
